Verse_number,vagga,verse_en,verse_sn,meaning_en,meaning_sn
11,Yamakavagga - The Pairs,"Asáre sáramatino sáre cásáradassino, te sáraí nádhigacchanti micchásaòkappagocará.","අසාරේ සාර මතිනෝ –
සාරේචා සාර දස්සිනෝ
තේ සාරං නාධි ගච්ඡන්ති –
මිච්ඡා සඩ්කප්ප ගෝචරා.","Those who mistake the unessential to be essential and the essential to be unessential, dwelling in wrong thoughts, never arrive at the essential.","නිසරුදෙයම  සරු ලෙසට                         දකින්නා
සරු දෙය නිසරු ලෙසට                           දකින්නා
වැරදි කල්පනා වෙහි                       නිමග්න වන්නා
සරු ලෙස හෝ දහමක්                       නොලබන්නා"
12,Yamakavagga - The Pairs,"Sárañ ca sárato ñatvá asárañ ca asárato, te sáram adhigacchanti sammásaòkappagocará.","සාරං ච සාර‍තෝ ඤත්වා –
අසාරංච අසාර‍තෝ
තේ සරං අධිගච්ඡන්ති –
සම්මා සඩ්කප්පගෝචරා.","Those who know the essential to be essential and the unessential to be unessential, dwelling in right thoughts, arrive at the essential.","සරු දෙය  සරු ලෙසම                                 දකින්නා,
නිසරු දෙය  නිසරු ලෙස ලෙසම                      දකින්නා,
නිවැරදි දෙය සිහියට                                  අරගන්නා,
සරු දේ සහ දහමත්                                 ලැබ ගන්නා "
13,Yamakavagga - The Pairs,"Yathá agáraí ducchannaí vuþþhi samativijjhati, evaí abhávitaí cittaí rágo samativijjhati.","යථා අගාරං දුච්ඡන්නං –
වුට්ඨි සමතිවිජ්ඣති
ඒවං අහාවිතං චිත්තං –
රාගෝ සමතිවිජ්ඣති.","Just as the rain breaks through an ill-thatched house, even so passion penetrates an undeveloped mind.","නිසි ලෙස සෙවෙලි කර නැති ඔබගේ    ගෙදර,
වැස්සට තෙමෙනවා ඔබ නොදැනම      නිතර,
හුරු නොකළහොත් සිත බවුනෙන්       සංවර,
රාගය උතුරලා යයි ඔබව                යටකර."
14,Yamakavagga - The Pairs,"Yathá agáraí succhannaí vuþþhi na samativijjhati, evaí subhávitaí cittaí rágo na samativijjhati.","යථා අගාරං සුච්ඡන්නං –
වුට්ඨී න සමතිවිජ්ඣති
ඒවං සුභාවිතං චිත්තං –
රාගෝ න සමතිවිජ්ඣති","Just as the rain does not break through a well-thatched house, even so passion never penetrates a well-developed mind.","නිසි ලෙස සෙවෙලි කර ඇති ඔබගේ                  ගෙදර,
මහ වැස්සට පවා නොතෙමේ නැහැ                     වතුර
සිටියොත්මෙ භාවනාවට යොමු වී                       නිතර
ගේ නොතෙමෙනා සේ රාගය යයි                       දුරැර"
15,Yamakavagga - The Pairs,"Idha socati pecca socati,  pápakárì ubhayattha socati; so socati so vihaññati,  disvá kammakiliþþham attano.","ඉධ සෝචති පෙච්ඡ සෝචති –
පාපකාරී උභයත්ථ සෝචති
සෝ සචති සෝ විහඤ්ඤති –
දිස්වා කම්මකිලිට්ඨමත්තනෝ…","The evil-doer grieves here, he grieves hereafter; he grieves in both worlds. He laments and is afflicted, recollecting his own impure deeds.","මිනිසත් බවක් ලබාගෙන ඔහු                          ඉපදෙන්නේ
නිතොරම පස් පව්ම කරමිනි                               ඉන්නේ,
මෙලොවද පරලොවද දුකමය                        පැමිණෙන්නේ ,
කරනා පව් නිසා ඔහු වැනසී                               යන්නේ."
16,Yamakavagga - The Pairs,"Idha modati pecca modati,  katapuñño ubhayattha modati; so modati so pamodati,  disvá kammavisuddhim attano.","ඉධ මෝදති පෙච්ඡ මෝදති –
කතපුඤ්ඤෝ උභයත්ථ මෝදති
සෝ මෝදති සෝ පමෝදති-
දිස්වා කම්ම විසිද්ධිමත්තනෝ…","The doer of good rejoices here, he rejoices hereafter; he rejoices in both worlds. He rejoices and exults, recollecting his own pure deeds.","පින්කල කෙනා මෙලොවත් සතුටිනි                   ඉන්නේ,
එහි ඵල ලෙසින් එලොවත් සතුටුම                   වෙන්නේ,
කල පින නිසා දෙලොවම සතුටම                    වෙන්නේ ,
පිනෙහි ඵලය දෙලොවම සැප                      සලසන්නේ "
17,Yamakavagga - The Pairs,"Idha tappati pecca tappati,  pápakárì ubhayattha tappati; pápaí me katan ti tappati,  bhiyyo tappati duggatií gato.","ඉධ තප්පතී පෙච්ඡ තප්පතී –
පාපකාරි උභයත්ත තප්පති
පාපන් මේ කතන්ති තප්පති-
භිය්‍යෝ තප්පති දුග්ගතිං ග‍තෝ…","The evil-doer suffers here, he suffers hereafter; he suffers in both worlds. The thought, “Evil have I done,” torments him, and he suffers even more when gone to realms of woe.","ඉපදී මෙලොව පෙර පින් ඵල                      නිසාවෙන,
මෙලොව නිතොර යෙදෙනා ජඩ                   ක්‍රියාවෙන ,
දැවෙයි මෙලොව කල ජඩ කම්                   සිතින් ගැන.
මල පසු නරකයේ අනන්ත                          දුක් විඳින "
18,Yamakavagga - The Pairs,"Idha nandati pecca nandati,  katapuñño ubhayattha nandati; puññaí me katan ti nandati, bhiyyo nandati suggatií gato.","ඉධ නන්දති පෙච්ඡ නන්දති –
කතපුඤ්ඤෝ උභයත්ත නන්දති
පුඤ්ඤං මේ කතන්ති නන්දති –
භිය්‍යෝ නන්දති සුග්ගතිං ග‍තෝ…","The doer of good delights here, he delights hereafter; he delights in both worlds. The thought, “Good have I done,” delights him, and he delights even more when gone to realms of bliss.","පින්කළ නිසා එසිතා තුටු වෙයි                         නිතින,
වැඩියෙන් යෙදෙයි කුසලෙහි පිං                      වැඩෙන,
මරණින් මතුද සුගති යේ                                උපණ ,
සැප හා සතුට දෙලොවම ඔහු හා                      බැඳින."
19,Yamakavagga - The Pairs,Bahum pi ce sahitaí bhásamáno  na takkaro hoti naro pamatto gopo va gávo gaóayaí paresaí  na bhágavá sámaññassa hoti.,"බහුම්පි චේ සහිතං භසමානෝ –
න තක්කරෝ හෝති නරෝ පමත්තෝ
ගෝපෝව ගාවෝගණයං පරේස –
න භගවා සාමඤ්ඤස්ස හෝති...","Although he recites many sacred texts, if he does not act accordingly, that heedless ma n is like a cowherd who only counts the cattle of others—he does not partake of the bless- ings of a holy life.","තුන්පිටකය ඉගෙන බොහොමත්                       බණ කියති,
එක බණ පදයකුදු ඔහු නම්                              නොරකිති,
ගොපලීහු අනුනගේ  ගොනුන්                                රකිති,
මහනකමට ඔහු හිමි කරුවෙක්                           නොවෙති"
20,Yamakavagga - The Pairs,"Appam pi ce sahitaí bhásamáno  dhammassa hoti anudhammacárì rágañ ca dosañ ca paháya mohaí  sammappajáno suvimuttacitto anupádiyáno idha vá huraí vá,  sa bhágavá sámaññassa hoti.","රාගං ච දොසං ච පහාය මෝහං –
සම්මප්පජානෝ සුවිමුත්තචිත්තෝ
අනුපාදියානෝ ඉධවා හුරංවා –
ස භගවා සාමඤ්ඤස්ස හෝති…","Although he recites few sacred texts, if he puts the Dhamma into practice, forsakin g lust, hatred, and delusion, with true wisdom and emancipa ted mind, clinging to nothing in this or any other world—he, indeed, partakes of the bless- ings of a holy life. ","තුන් පිටකයම නොව තරමක් වෙයි                      දන්නේ ,
ඒ මග යමින්දහමට අනුවයි                              ඉන්නේ,
සියලු කෙලෙස් දුරු කර සතියෙන්                      ඉන්නේ,
එතුමන් මහන කමට හිමි කරු                           වන්නේ"
21,Appamádavagga -  Heedfulness,"Appamádo amatapadam,  pamádo maccuno padaí; appamattá na mìyanti,  ye pamattá yathá matá.","අප්පමාදෝ අමතපදං –
පමාදෝ මච්චුනෝ පදං,
අප්පමත්තා න මීයන්ති –
යේ පමත්තා යථා මතා”","Heedfulness is the path to the Deathless, heedlessness is the path to death. The heedful do not die, the heedless are already dead. The Deathless (amata): Nibbána, so called because those who 
attain it are freed from the cycle of repeated birth and death. ","සතිමත් අප්පමාදය නිවනට මග                     වන්නේ
අසතිය හා පමාදය මරණට                        මුනන්නේ
නොපමාවෙන  දනා කිසිවිට                නොමියයන්නේ
පමාවුවන් නොමලත්                       මළවුන් වැන්නේ "
22,Appamádavagga -  Heedfulness,"Etam visesato ñatvá  appamádamhi paóðitá, appamáde pamodanti  ariyánaí gocare ratá.","“ඒතං විසේසතෝ ඤත්වා –
අප්පමාද්ම්හි පණ්ඩිතා,
අප්පමාදෝ පමෝදන්ති –
අරියානං ගෝචරේ රතා”","Clearly understanding this excellence of heedfulness, the wise exult therein and enjoy th e resort of the noble ones. The noble ones ( ariya ): those who have reached any of the four stages of supramundane attainment leading irreversibly to Nibbána.","ආර්යයන් සැකෙවින් මේ                    දැනගන්නේ,
නොපමාවම නිවනට උන්                    ලං වන්නේ,
පණ්ඩිතයන් නිබඳ මෙ අයුරින්             හැසිරෙන්නේ.
සතිමත් බැවින් තුටුවම දිවි                 ගෙන යන්නේ."
23,Appamádavagga -  Heedfulness,"Te jháyino sátatiká  niccaí daÿhaparakkamá, phusanti dhìrá nibbánaí  yogakkhemaí anuttaraí.","“තේ ඣායිනෝ සාතතිකා –
නිච්චං දළ්හපරක්කමා,
ඵුසන්ති ධීරා නිබ්බානං –
යෝගක්ඛේමං අනුත්තරං”","The wise ones, ever meditative and steadfastly perse- vering, experience Nibbána, th e incomparable freedom from bondage. ","නිරතුරු භාවනා කර ලැබගෙන                        ධ්‍යාන,
දැඩි ලෙස විරි වඩා උත්සාහයද                         ගෙන,
කාමාදී කෙලෙස් හැම පලවා                            හරින,
පන්ඩිතයන් ලබති නිසැකව   අම                              නිවන .
"
24,Appamádavagga -  Heedfulness,Uþþhánavato satimato sucikammassa nisammakárino saññatassa ca dhammajìvino appamattassa yaso’ bhivaððhati.,"උට්ඨානවතෝ සතිමතෝ –
සුචිකම්මස්ස නිසම්මකාරිනෝ,
සඤ්ඤතස්ස ච ධම්මජීවිනෝ –
අප්පමත්තස්ස යසෝ’භිවඩ්ඪති”","Ever grows the glory of on e who is energetic, mindful, and pure in conduct, discerning  and self-controlled, righteous and heedful. ","කරනට  යමක් නිරතුරු විරියද                           වඩනේ,
සතියද වඩා අරමුණ වෙත                          එළඹෙන්නේ,
තැන්පත් දැහැමි දිවි පෙවෙතක් මයි                    වෙන්නේ,
ඔහු ගේ කිතු ගොසයි ලොව පැතිරී                      යන්නේ."
25,Appamádavagga -  Heedfulness,Uþþhánen’appamádena saññamena damena ca dìpaí kayirátha medhávì yaí ogho nábhikìrati,"උට්ඨානේනප්පමාදේන –
සඤ්ඤමේන දමේන ච,
දීපං කයිරාථ මේධාවී –
යන් ඕඝෝ නාභිකීරති.”","By effort and heedfulness, discipline and self-mastery, let the wise one make for himself an island which no flood can overwhelm. ","පණ්ඩිත තෙමේ නිබඳ දැඩි වෙර                     වඩමින්,
ඉඳුරන් දමනයෙන් වෙසේ  සීලය                    වඩිමින්,
දුවක් ලෙස යට නොවූ දැඩි                       ජල පහරින්,
වසයි නිබඳ සැනසී සතුටින්                 නිවනම  විඳිමින් "
26,Appamádavagga -  Heedfulness,"Pamádam anuyuñjanti  bálá dummedhino janá, appamádañ ca medhávì  dhanaí seþþhaí va rakkhati.","පමාදමනුයුඤ්ජන්ති –
බාලා දුම්මේධිනෝ ජනා,
අප්පමාදඤ් ච මේධාවී –
ධනං සෙට්ඨං’ව රක්ඛති","The foolish and ignorant in dulge in heedlessness, but the wise one guards heedfulness as his best treasure. Indra: the ruler of the gods in ancient Indian mythology.","අනුවණ  දනෝ යහ මග නොයා  වෙමිණ                    පමා
ගැලේ කම් සැපෙහි මෝහෙන්  නැතිය                       සමා
ගුණ නැණ හිමිව සසරෙහි බිය ඇති                         උතුමා
ධනයක් සේ රකී පිළිවෙත් දිවිසේ                              තමා"
27,Appamádavagga -  Heedfulness,"Má pamádam anuyuñjetha,  má kámaratisanthavaí; appamatto hi jháyanto  pappoti vipulaí sukhaí.","මා පමාදමනු යුඥන්ජේත –
මා කාමරති සංථවන්
අප්පමත්තෝ හි ඥායන්තෝ –
පප්පෝති විපුලන් සුඛං",Do not give way to heedlessness; do not indulge in sensual pleasures. Only the h eedful and meditative attain great happiness. ,"පමා  නොවව්  කුසලෙහි   ඉදිරියෙ                   සැපම වෙති,
නොඇලෙව් කම් සැපෙහි  සැනෙකින්                 දුකම වෙති,
නිසල සිත් වඩන්නෝ  නොපමා  මින්                     මිදෙති,
මහම යසස වූ  නිවනට ම                                පැමිනෙති."
28,Appamádavagga -  Heedfulness,"Pamádaí appamádena  yadá nudati paóðito, paññápásádam áruyha  asoko sokinií pajaí, pabbataþþho va bhummaþþhe,  dhìro bále avekkhati.","පමාදං අප්පමාදේන –
යදා නුදති පණ්ඩිතෝ,
පඤ්ඤාපාසාදමාරුය්හ –
අසෝකෝ සෝකිනිං පජං,
පබ්බතට්ඨෝ’ව භුම්මට්ඨේ –
ධීරෝ බාලේ අවෙක්ඛති”","Just as one upon the summ it of a mountain beholds the groundlings, even so when th e wise man casts away heedless- ness by heedfulness and ascends the high tower of wisdom, this sorrowless sage beholds the sorrowing and foolish multitude. ","නොපමාවෙන් පමා බව                  දුරු කර ගන්නේ,
සතියෙන්  කරන සැම දේ ඔබ               ජය ගන්නේ ,
නුවණැත්තා  නැගී පඥා                        කඳු මුදුනේ,
බලයි පමාවූ දන දෙස                             සොවිනේ ."
29,Appamádavagga -  Heedfulness,Appamatto pamattesu  suttesu bahujágaro abalassaí va sìghasso  hitvá yáti sumedhaso.,"අප්පමත්තෝ පමත්තේසු –
සුත්තේසු බහුජාගරෝ,
අබලස්සං’ව සීඝස්සෝ –
හිත්වා යාති සුමේධසෝ”","Heedful among the heedless, wide awake among the sleepy, the wise man advances like a swift horse leaving behind a weak nag. ","නොපමාවෙන්, නොනිදා  නීති වඩින                   බවුන්,
සිහි නුවනින් කරන යහ දේ                       ජය ගන්නේ,
අජානේය අසු සෙසු අසු                              පරදන්නේ,
එලෙසය කලින් නිවනට ඔහු                    පැමිණෙන්නේ "
30,Appamádavagga -  Heedfulness,Appamádena Maghavá  devánaí seþþhataí gato; appamádaí pasaísanti  pamádo garahito sadá.,"අප්පමාදේන මඝවා –
දේවානං සෙට්ඨතං ගතෝ
අප්පමාදං පසංසන්ති –
පමාදෝ ගරහිතො සදා ","By heedfulness did Indra be come the overlord of the gods. Heedfulness is ever praised, and heedlessness ever despised.","මඝ මානවක තුසිතෙහි සක්                     රජු වන්නේ,
නොපමා බව නිසයි එය                          සිදුවන්නේ,
අප්‍රමාද බව පඬුවන්                                පසසන්නේ,
පමාවුවන්, සැම ගරහට                           ලක්වන්නේ. "
31,Appamádavagga -  Heedfulness,Appamádarato bhikkhu  pamáde bhayadassivá saññojanaí aóuí thúlaí  ðahaí aggì va gacchati.,"අප්පමාදරතෝ භික්ඛු –
පමාදේ භය දස්සිවා
සංයෝජනං අණුං ථූලං –
ඩහං අග්ගීව ගච්ඡති","The monk who delights in heedfulness and looks with fear at heedlessness advances like fire, burning all fetters subtle and coarse.","දැනගෙන පමාවේ බිය නොපමාවෙහි               ඇලුනේ,
භික්ෂුව නිවන් යන පාරේ මය                         යන්නේ,
ලොකු පොඩි දර දවාලන ගින්නක්                   වැන්නේ,
එතුමා සසර බැමි සිඳ නිවනට                         යන්නේ.
"
32,Appamádavagga -  Heedfulness,"Appamádarato bhikkhu  pamáde bhayadassivá abhabbo parihánáya,  nibbánass’eva santike.","අප්පමාදරතෝ භික්ඛු –
පමාදේ භයදස්සිවා
අභඛ්බෝ පරිහානාය –
නිබ්බාණස්සේව සන්තිකෙ",The monk who delights in heedfulness and looks with fear at heedlessness will not fall. He is close to Nibbána. ,"දැනගෙන පමාවේ බිය නොපමාවෙහි                      ඇලුනේ,
පිරිහෙන්නේ නැතිව දහමෙහි නීති                         යෙදුනේ,
අප්පමාදයෙනි කුසලින්                                නොපිරිහුනේ,
සැම විට නිසැකවම  නිවනට                            ලංවන්නේ"
33,Cittavagga -  The Mind,Phandanaí capalaí cittaí durakkhaí dunnivárayaí ujuí karoti medhávì usukáro va tejanaí.,"ඵන්දනං චපලං චිත්තං
දුරක්ඛං දුන්නිවාරයං
උජුං කරොති මෙධාවී
උසුකාරොව තෙජනං","Just as an arrow-maker straightens an arrow shaft, even so the discerning person straightens his mind—so fickle and unsteady, so difficult to guard and control.  ","චංචල චපල සිත රැකුමට                                         අපහසුය,
දුසිරිත්වලින් මිදුමත් බොහො                                     අසීරුය,
ඇද වූ දණ්ඩ හී වඩු දිග                                        හරින්නෙය,
එලෙසට පඩුන් සිත සෘජු                                      කරන්නෙය."
34,Cittavagga -  The Mind,"Várijo va thale khitto  okamokata ubbhato, pariphandat’idaí cittaí  Máradheyyaí pahátave.","වාරිජොව ථලෙ ඛිත්තො,
ඔකමොකත උබ්භතො
පරිඵන්දති’දං චිත්තං
මාරධෙය්‍යං පහාතවේ","As a fish when pulled out of water and cast on land throbs and quivers, even so is this mind agitated. Hence one should leave the realm of Mára. ","පහ කෙරුමට කෙලෙස් වැයම්                               කරන කල,
ගොඩගත් මසෙකු සේ , ඒ සිත වෙයි                             සසල,
වෙහෙසවූ වෑයමෙන් කෙලෙසුන්                            නසන කල,
කෙලෙසුන් නසා  ඒ සිත නම් වේ                                නිසල."
35,Cittavagga -  The Mind,Dunniggahassa lahuno  yatthakámanipátino cittassa damatho sádhu:  cittaí dantaí sukhávahaí.,"දුන්නිග්ගහස්ස ලහුනො
යත්ථකාම නිපාතිනො
චිත්තස්ස දමථො සාධු
චිත්තං දන්තං සුඛාවහං","Wonderful, indeed, it is to subdue the mind, so difficult to subdue, ever swift, and wander ing wherever it desires. A tamed mind brings happiness. ","අල්ලා ගැනීමට බොහොමත්                                අපහසුය,
වහ වහා ඉපිද සිත් වැනසී                                  යනවාය,
දමනය කලත් සිත බොහොමත්                           යහපත් ය,.
දැමුණු සිතම සැපයට                                  පමුනන්නේය."
36,Cittavagga -  The Mind,Sududdasaí sunipuóaí  yatthakámanipátinaí cittaí rakkhetha medhávì:  cittaí guttaí sukhávahaí.,"සුදුද්දසං සුනිපුණං
යත්ථ කාම නිපාතිනං
චිත්තං රක්ඛෙථ මෙධාවී
චිත්තං ගුත්තං සුඛාවහං","Let the discerning person guard his mind, so difficult to detect and extremely subtle, wand ering wherever it desires. A guarded mind brings happiness. ","දැකුමට නොහෙන සිත රැකුම ම                              අසීරුය,
නොහොනා කාමයෙන් වැලෑකුම                            දුෂ්කරය,
අසීරිවෙන් මුත් රැකගත්                                      එම සිතය,
ගෙනෙන්නේ ඔබට සැප සහ                               සොම්නසය."
37,Cittavagga -  The Mind,Dúraògamaí ekacaraí  asarìraí guhásayaí ye cittaí saññamessanti  mokkhanti Márabandhaná.,"දූරං ගමං ඒක චරං
අසරීරං ගුහාසයං
යෙ චිත්තං සඤඤ මෙස්සන්ති
මොක්ඛන්ති මාර බන‍්ධනා","Dwelling in the cave (of the heart), without form, the mind wanders far and moves alone. Those who subdue this mind are liberated from the bonds of Mára. ","සැනෙකින් අනන්තයට   මේ  සිත                යන්නේය,
එකවැර දෙඅරමුණක් නම්                  නොම ගන්නේය,
රුවක් ද නැති ව මුත් මන ගෙහි    (ගුහාවෙහි) වසන්නේය,
රැකුණු සිතක් මරු බැම්මෙන්                      මිදුනේය.,"
38,Cittavagga -  The Mind,Anavaþþhitacittassa  saddhammaí avijánato pariplavapasádassa  paññá na paripúrati.,"අනවට්ඨිත චිත්තස්ස
සද්ධම්මං අවිජානතො
පරිප්ලවපසාදස්ස
පඤ්ඤා න පරිපූරති","Wisdom is not perfected in one whose mind is not stead- fast, who knows not the Good Teaching, and whose faith wavers. ","එක් අරමුණක නො පිහිටි  සැලෙනා                         සිතිනේ,
දහමෙහි නොපිහිටා  කම් අරමුණ                           බැඳුනේ,
සද්ධා හීනයා නිතර  කම්  අරමුණු                          ගන්නේ,
පුහුදුන් බැවින් කිසි විට නැත                          වෙන්වන්නේ.
"
